Fleet,Fleet_name,Area,Yr,Seas,Subseas,Month,Time,Vuln_bio,Obs,Exp,Calc_Q,Eff_Q,SE,SE_input,Dev,Like,Like+log(s),SuprPer,Use,Model
3,SURV,1,1982,1,2,7,1982.5,239685,166457,200376,0.836,0.836,0.096,0.096,-0.18546,4.20948,1.86607,NA,1,M25_2
3,SURV,1,1984,1,2,7,1984.5,267474,188482,223608,0.836,0.836,0.079,0.079,-0.170892,4.878,2.33969,NA,1,M25_2
3,SURV,1,1985,1,2,7,1985.5,291726,163239,243883,0.836,0.836,0.131,0.131,-0.401472,6.72867,4.69612,NA,1,M25_2
3,SURV,1,1986,1,2,7,1986.5,320115,253342,267616,0.836,0.836,0.141,0.141,-0.0548118,2.03455,0.075558,NA,1,M25_2
3,SURV,1,1987,1,2,7,1987.5,351652,337865,293981,0.836,0.836,0.088,0.088,0.139132,3.68027,1.24985,NA,1,M25_2
3,SURV,1,1988,1,2,7,1988.5,382582,349786,319838,0.836,0.836,0.117,0.117,0.0895063,2.4382,0.292621,NA,1,M25_2
3,SURV,1,1989,1,2,7,1989.5,411209,392634,343771,0.836,0.836,0.077,0.077,0.132903,4.05352,1.48957,NA,1,M25_2
3,SURV,1,1990,1,2,7,1990.5,436365,457619,364801,0.836,0.836,0.111,0.111,0.226686,4.28354,2.08532,NA,1,M25_2
3,SURV,1,1991,1,2,7,1991.5,453189,429660,378866,0.836,0.836,0.085,0.085,0.125812,3.56051,1.09541,NA,1,M25_2
3,SURV,1,1992,1,2,7,1992.5,458116,378474,382985,0.836,0.836,0.089,0.089,-0.011848,2.42798,0.00886095,NA,1,M25_2
3,SURV,1,1993,1,2,7,1993.5,456735,368769,381830,0.836,0.836,0.066,0.066,-0.0348049,2.85715,0.139048,NA,1,M25_2
3,SURV,1,1994,1,2,7,1994.5,453540,383556,379159,0.836,0.836,0.078,0.078,0.0115301,2.56197,0.0109257,NA,1,M25_2
3,SURV,1,1995,1,2,7,1995.5,447973,342536,374505,0.836,0.836,0.079,0.079,-0.0892292,3.17617,0.637866,NA,1,M25_2
3,SURV,1,1996,1,2,7,1996.5,443754,400012,370978,0.836,0.836,0.058,0.058,0.0753516,3.69123,0.843916,NA,1,M25_2
3,SURV,1,1997,1,2,7,1997.5,438945,396800,366958,0.836,0.836,0.066,0.066,0.0781852,3.41977,0.701666,NA,1,M25_2
3,SURV,1,1998,1,2,7,1998.5,433312,350056,362249,0.836,0.836,0.053,0.053,-0.0342378,3.14612,0.208656,NA,1,M25_2
3,SURV,1,1999,1,2,7,1999.5,431270,323240,360542,0.836,0.836,0.169,0.169,-0.109213,1.98666,0.208807,NA,1,M25_2
3,SURV,1,2000,1,2,7,2000.5,432867,311652,361877,0.836,0.836,0.056,0.056,-0.149416,6.44192,3.55951,NA,1,M25_2
3,SURV,1,2001,1,2,7,2001.5,435068,413816,363717,0.836,0.836,0.059,0.059,0.129046,5.22218,2.39196,NA,1,M25_2
3,SURV,1,2002,1,2,7,2002.5,438444,363236,366539,0.836,0.836,0.066,0.066,-0.00905308,2.72751,0.00940751,NA,1,M25_2
3,SURV,1,2003,1,2,7,2003.5,443189,372100,370506,0.836,0.836,0.052,0.052,0.00429429,2.95992,0.00340993,NA,1,M25_2
3,SURV,1,2004,1,2,7,2004.5,449445,424508,375736,0.836,0.836,0.048,0.048,0.122045,6.26895,3.2324,NA,1,M25_2
3,SURV,1,2005,1,2,7,2005.5,456592,487010,381711,0.836,0.836,0.051,0.051,0.243621,14.3852,11.4093,NA,1,M25_2
3,SURV,1,2006,1,2,7,2006.5,466125,437468,389681,0.836,0.836,0.052,0.052,0.115676,5.43079,2.47427,NA,1,M25_2
3,SURV,1,2007,1,2,7,2007.5,479821,479235,401130,0.836,0.836,0.069,0.069,0.177905,5.99754,3.32389,NA,1,M25_2
3,SURV,1,2008,1,2,7,2008.5,495730,361585,414430,0.836,0.836,0.056,0.056,-0.136408,5.84909,2.96669,NA,1,M25_2
3,SURV,1,2009,1,2,7,2009.5,512922,350384,428802,0.836,0.836,0.064,0.064,-0.201966,7.72816,4.97929,NA,1,M25_2
3,SURV,1,2010,1,2,7,2010.5,532403,366930,445089,0.836,0.836,0.062,0.062,-0.193104,7.6309,4.85028,NA,1,M25_2
3,SURV,1,2011,1,2,7,2011.5,551927,410961,461411,0.836,0.836,0.05,0.05,-0.11579,5.6772,2.68147,NA,1,M25_2
3,SURV,1,2012,1,2,7,2012.5,568379,370249,475165,0.836,0.836,0.061,0.061,-0.249486,11.1607,8.36378,NA,1,M25_2
3,SURV,1,2013,1,2,7,2013.5,581914,387225,486480,0.836,0.836,0.063,0.063,-0.22819,9.32428,6.55966,NA,1,M25_2
3,SURV,1,2014,1,2,7,2014.5,591700,405036,494661,0.836,0.836,0.051,0.051,-0.199897,10.6573,7.68141,NA,1,M25_2
3,SURV,1,2015,1,2,7,2015.5,597727,448213,499700,0.836,0.836,0.056,0.056,-0.108739,4.76764,1.88523,NA,1,M25_2
3,SURV,1,2016,1,2,7,2016.5,597403,550912,499429,0.836,0.836,0.042,0.042,0.0981101,5.89843,2.72834,NA,1,M25_2
3,SURV,1,2017,1,2,7,2017.5,589348,545059,492695,0.836,0.836,0.071,0.071,0.101004,3.65696,1.01188,NA,1,M25_2
3,SURV,1,2018,1,2,7,2018.5,574640,546263,480399,0.836,0.836,0.048,0.048,0.128484,6.61906,3.58251,NA,1,M25_2
3,SURV,1,2019,1,2,7,2019.5,558855,490420,467203,0.836,0.836,0.048,0.048,0.0484992,3.54701,0.510454,NA,1,M25_2
3,SURV,1,2021,1,2,7,2021.5,523259,468113,437444,0.836,0.836,0.048,0.048,0.0677608,4.03298,0.996425,NA,1,M25_2
3,SURV,1,2022,1,2,7,2022.5,496162,463017,414791,0.836,0.836,0.056,0.056,0.109989,4.81123,1.92883,NA,1,M25_2
3,SURV,1,2023,1,2,7,2023.5,477133,418483,398883,0.836,0.836,0.08,0.08,0.047969,2.7055,0.179768,NA,1,M25_2
3,SURV,1,1982,1,2,7,1982.5,196058,166457,196058,1,1,0.096,0.096,-0.163672,3.79678,1.45338,NA,1,M25_3
3,SURV,1,1984,1,2,7,1984.5,220347,188482,220347,1,1,0.079,0.079,-0.1562,4.493,1.95469,NA,1,M25_3
3,SURV,1,1985,1,2,7,1985.5,241600,163239,241600,1,1,0.131,0.131,-0.39207,6.51129,4.47873,NA,1,M25_3
3,SURV,1,1986,1,2,7,1986.5,266255,253342,266255,1,1,0.141,0.141,-0.0497131,2.02115,0.0621546,NA,1,M25_3
3,SURV,1,1987,1,2,7,1987.5,293565,337865,293565,1,1,0.088,0.088,0.140547,3.70583,1.27541,NA,1,M25_3
3,SURV,1,1988,1,2,7,1988.5,320208,349786,320208,1,1,0.117,0.117,0.0883516,2.4307,0.28512,NA,1,M25_3
3,SURV,1,1989,1,2,7,1989.5,344917,392634,344917,1,1,0.077,0.077,0.129574,3.97983,1.41588,NA,1,M25_3
3,SURV,1,1990,1,2,7,1990.5,366858,457619,366858,1,1,0.111,0.111,0.221061,4.18135,1.98313,NA,1,M25_3
3,SURV,1,1991,1,2,7,1991.5,381396,429660,381396,1,1,0.085,0.085,0.119155,3.44766,0.982558,NA,1,M25_3
3,SURV,1,1992,1,2,7,1992.5,385017,378474,385017,1,1,0.089,0.089,-0.0171396,2.43766,0.0185434,NA,1,M25_3
3,SURV,1,1993,1,2,7,1993.5,383181,368769,383181,1,1,0.066,0.066,-0.0383367,2.8868,0.168698,NA,1,M25_3
3,SURV,1,1994,1,2,7,1994.5,380158,383556,380158,1,1,0.078,0.078,0.00889758,2.55755,0.00650615,NA,1,M25_3
3,SURV,1,1995,1,2,7,1995.5,375193,342536,375193,1,1,0.079,0.079,-0.091063,3.20266,0.664355,NA,1,M25_3
3,SURV,1,1996,1,2,7,1996.5,371718,400012,371718,1,1,0.058,0.058,0.07336,3.64721,0.799894,NA,1,M25_3
3,SURV,1,1997,1,2,7,1997.5,367778,396800,367778,1,1,0.066,0.066,0.0759524,3.38026,0.662164,NA,1,M25_3
3,SURV,1,1998,1,2,7,1998.5,362874,350056,362874,1,1,0.053,0.053,-0.0359626,3.16767,0.230208,NA,1,M25_3
3,SURV,1,1999,1,2,7,1999.5,361323,323240,361323,1,1,0.169,0.169,-0.111378,1.99502,0.217167,NA,1,M25_3
3,SURV,1,2000,1,2,7,2000.5,362901,311652,362901,1,1,0.056,0.056,-0.152242,6.57782,3.69541,NA,1,M25_3
3,SURV,1,2001,1,2,7,2001.5,364648,413816,364648,1,1,0.059,0.059,0.126489,5.12834,2.29812,NA,1,M25_3
3,SURV,1,2002,1,2,7,2002.5,367177,363236,367177,1,1,0.066,0.066,-0.0107924,2.73147,0.0133695,NA,1,M25_3
3,SURV,1,2003,1,2,7,2003.5,370742,372100,370742,1,1,0.052,0.052,0.00365516,2.95898,0.00247045,NA,1,M25_3
3,SURV,1,2004,1,2,7,2004.5,375510,424508,375510,1,1,0.048,0.048,0.122645,6.30081,3.26426,NA,1,M25_3
3,SURV,1,2005,1,2,7,2005.5,380875,487010,380875,1,1,0.051,0.051,0.245813,14.5914,11.6155,NA,1,M25_3
3,SURV,1,2006,1,2,7,2006.5,388396,437468,388396,1,1,0.052,0.052,0.118978,5.57407,2.61756,NA,1,M25_3
3,SURV,1,2007,1,2,7,2007.5,399841,479235,399841,1,1,0.069,0.069,0.181123,6.11888,3.44524,NA,1,M25_3
3,SURV,1,2008,1,2,7,2008.5,413374,361585,413374,1,1,0.056,0.056,-0.133855,5.73908,2.85668,NA,1,M25_3
3,SURV,1,2009,1,2,7,2009.5,428026,350384,428026,1,1,0.064,0.064,-0.200154,7.63919,4.89032,NA,1,M25_3
3,SURV,1,2010,1,2,7,2010.5,444909,366930,444909,1,1,0.062,0.062,-0.192699,7.6106,4.82998,NA,1,M25_3
3,SURV,1,2011,1,2,7,2011.5,461859,410961,461859,1,1,0.05,0.05,-0.116762,5.72238,2.72665,NA,1,M25_3
3,SURV,1,2012,1,2,7,2012.5,476013,370249,476013,1,1,0.061,0.061,-0.25127,11.2807,8.48382,NA,1,M25_3
