strata,model_name,year,variable,pred,pred_lci,pred_uci,obs,obs_cv,obs_lci,obs_uci
AKskate,AKskate,1999,biomass_pred,326560.4313845158,272864.20369692123,390823.3982369168,321731.9,0.1665748877889507,232634.63322938205,444952.7314170191
AKskate,AKskate,2000,biomass_pred,328232.0484077006,297652.1124877509,361953.6804273436,311652.36,0.05597610654757038,279293.43782671477,347760.38509659254
AKskate,AKskate,2001,biomass_pred,385387.8792714556,350030.6701389176,424316.5818309721,413815.89,0.05873451289139644,368854.6747995416,464257.6128648942
AKskate,AKskate,2002,biomass_pred,372751.6883683267,337802.24476601934,411317.0452069624,363236.32,0.06606212927433258,319167.2254960593,413390.2657519937
AKskate,AKskate,2003,biomass_pred,381182.88360759564,349866.95892338053,415301.83702549065,372100.08,0.052120566443492874,335988.75507353584,412092.56990074774
AKskate,AKskate,2004,biomass_pred,423705.27731087455,391322.1513859352,458768.2076909321,424508.43,0.04796317193387106,386441.21928683645,466325.5319234092
AKskate,AKskate,2005,biomass_pred,467344.07099106,428920.38854302664,509209.83596140554,487010.27,0.05078454241541855,440897.94218188914,537945.3619396271
AKskate,AKskate,2006,biomass_pred,443622.10551034583,407630.64771788433,482791.4034413708,437467.87,0.051905693513356,395178.8297084861,484282.3625534592
AKskate,AKskate,2007,biomass_pred,442122.4299667377,398114.04061869765,490995.6021041485,479234.68,0.0693534322668222,418393.84989021404,548922.692278976
AKskate,AKskate,2008,biomass_pred,376387.88533665304,343487.69723439537,412439.3431521468,361585.44,0.0559599120793042,324052.2182412364,403465.9325265373
AKskate,AKskate,2009,biomass_pred,361416.7082894674,327387.14034543285,398983.4081233978,350384.18,0.06405164446463875,309086.06554722274,397200.28587155935
AKskate,AKskate,2010,biomass_pred,372588.4824257633,338797.9304264356,409749.18902722234,366930.02,0.06198416865447003,324992.0945017962,414279.73743052495
AKskate,AKskate,2011,biomass_pred,398757.8856075283,366850.72586081707,433440.19821979076,410961.04,0.04987735452887848,372710.25285084656,453137.4575989164
AKskate,AKskate,2012,biomass_pred,380857.735185361,346657.9777683783,418431.4908438091,370248.72,0.06051487655544937,328874.55582074524,416827.9735704358
AKskate,AKskate,2013,biomass_pred,391113.68137202086,355312.0281097496,430522.7508625882,387224.82,0.06299761206958271,342288.73936320137,438060.1637757307
AKskate,AKskate,2014,biomass_pred,411264.8845463009,377855.57268285216,447628.1878283863,405035.68,0.05135175917038397,366278.4442790199,447893.9578221293
AKskate,AKskate,2015,biomass_pred,456615.734812901,417987.141606722,498814.2182490824,448213.14,0.05615877508966667,401531.6412735417,500321.76351402624
AKskate,AKskate,2016,biomass_pred,535809.8006945112,497580.2284739287,576976.5880786686,550912.36,0.0415424503705185,507851.52425790945,597624.3329076571
AKskate,AKskate,2017,biomass_pred,540498.7403172419,488469.9792155491,598069.279003965,545059.02,0.07098832615923241,474344.727044507,626315.2478460774
AKskate,AKskate,2018,biomass_pred,536746.5044834504,494978.54813053564,582038.9816150697,546262.63,0.048216575473965656,497030.7885040222,600370.9786926052
AKskate,AKskate,2019,biomass_pred,496491.0965360936,457045.53458860616,539341.0290322477,490419.64,0.048437181235371565,446028.08221121173,539229.3285781008
AKskate,AKskate,2020,biomass_pred,482441.31673250464,416299.07437191147,559092.3411053757,NA,NA,NA,NA
AKskate,AKskate,2021,biomass_pred,468789.1197131914,431774.1807809585,508977.25835291675,468113.23,0.047902842183592274,426186.12308902096,514165.0190596694
AKskate,AKskate,2022,biomass_pred,458221.124698909,418591.7032560027,501602.3907954085,463017.31,0.056047417623264296,414884.2819107897,516734.5178088333
AKskate,AKskate,2023,biomass_pred,434157.3877326176,382171.2276953966,493215.1445818561,418483.45,0.08009145224406704,357777.7011759268,489489.4157693409
AKskate,AKskate,2024,biomass_pred,434157.3877326176,345402.4780941744,545718.8331793546,NA,NA,NA,NA
