Yr,Catch,Catch_std,model
2027,23747,789.201,scenario_1
2028,23333.5,827.222,scenario_1
2029,23109.5,892.033,scenario_1
2030,22949.5,976.333,scenario_1
2031,22756.1,1067.79,scenario_1
2032,22481.1,1149.42,scenario_1
2033,22124.7,1202.63,scenario_1
2034,21720.1,1213.44,scenario_1
2035,21309.3,1178.1,scenario_1
2036,20925.3,1104.36,scenario_1
2037,20586.1,1007.53,scenario_1
2038,20297.4,903.929,scenario_1
2039,20057.3,805.917,scenario_1
2040,19860.1,720.448,scenario_1
2041,19699.2,649.967,scenario_1
2027,17367,565.217,scenario_2
2028,17349.5,592.068,scenario_2
2029,17458.2,641.836,scenario_2
2030,17602.6,710.848,scenario_2
2031,17707.3,790.347,scenario_2
2032,17728.7,867.015,scenario_2
2033,17659.5,925.49,scenario_2
2034,17520.4,953.074,scenario_2
2035,17343.4,944.291,scenario_2
2036,17157.2,902.76,scenario_2
2037,16980.6,838.894,scenario_2
2038,16823.1,765.001,scenario_2
2039,16687.5,691.346,scenario_2
2040,16573.4,624.413,scenario_2
2041,16478.2,567.218,scenario_2
2027,19076,326.82,scenario_3
2028,18977.7,424.404,scenario_3
2029,19012.1,531.678,scenario_3
2030,19081.9,645.085,scenario_3
2031,19108.4,756.969,scenario_3
2032,19049.2,855.331,scenario_3
2033,18900.6,926.166,scenario_3
2034,18687.4,958.44,scenario_3
2035,18444.4,948.772,scenario_3
2036,18201.6,902.919,scenario_3
2037,17977.8,833.214,scenario_3
2038,17781.8,753.512,scenario_3
2039,17615.2,674.972,scenario_3
2040,17476.2,604.481,scenario_3
2041,17361.1,545.096,scenario_3
2027,12062.9,401.724,scenario_4
2028,12222.1,434.257,scenario_4
2029,12455.7,479.757,scenario_4
2030,12703.9,535.531,scenario_4
2031,12914.8,596.136,scenario_4
2032,13056.6,653.433,scenario_4
2033,13121.3,697.856,scenario_4
2034,13121,721.179,scenario_4
2035,13077.5,719.465,scenario_4
2036,13012.1,694.446,scenario_4
2037,12940.4,652.533,scenario_4
2038,12871.4,601.953,scenario_4
2039,12809.6,549.953,scenario_4
2040,12756.4,501.443,scenario_4
2041,12711.3,458.977,scenario_4
2027,2.7761e-6,1.29979e-7,scenario_5
2028,2.94457e-6,1.49413e-7,scenario_5
2029,3.14062e-6,1.75714e-7,scenario_5
2030,3.34901e-6,2.08826e-7,scenario_5
2031,3.55223e-6,2.47017e-7,scenario_5
2032,3.73457e-6,2.86562e-7,scenario_5
2033,3.88584e-6,3.22306e-7,scenario_5
2034,4.00352e-6,3.49235e-7,scenario_5
2035,4.09141e-6,3.64179e-7,scenario_5
2036,4.15655e-6,3.66727e-7,scenario_5
2037,4.20599e-6,3.58966e-7,scenario_5
2038,4.24532e-6,3.44362e-7,scenario_5
2039,4.27824e-6,3.26464e-7,scenario_5
2040,4.30686e-6,3.08073e-7,scenario_5
2041,4.33225e-6,2.90968e-7,scenario_5
2027,27516.6,921.211,scenario_6
2028,26766.3,954.09,scenario_6
2029,26263.2,1019.27,scenario_6
2030,25856.5,1107.39,scenario_6
2031,25434,1203.45,scenario_6
2032,24943.1,1287.35,scenario_6
2033,24387.7,1337.65,scenario_6
2034,23807.4,1338.95,scenario_6
2035,23248.2,1288.37,scenario_6
2036,22743.6,1196.35,scenario_6
2037,22309,1081.34,scenario_6
2038,21946.1,962.011,scenario_6
2039,21648.7,851.794,scenario_6
2040,21407.7,757.683,scenario_6
2041,21152.8,1407.86,scenario_6
2027,23747,3.04445e-7,scenario_7
2028,23333.5,3.8462e-7,scenario_7
2029,26778,1150.63,scenario_7
2030,26322.3,1220.31,scenario_7
2031,25849.4,1297.47,scenario_7
2032,25307.3,1363.73,scenario_7
2033,24701.8,1398.82,scenario_7
2034,24073.9,1387.73,scenario_7
2035,23471.2,1327.38,scenario_7
2036,22928,1227.72,scenario_7
2037,22460.2,1106.73,scenario_7
2038,22069.3,982.643,scenario_7
2039,21748.8,868.582,scenario_7
2040,21488.8,771.321,scenario_7
2041,21278.8,692.616,scenario_7
